ir_raw,ir_ac,red_raw,bpm
64210.0,45.9,78501.0,0.0
64225.0,58.5,78528.0,0.0
64241.0,71.5,78552.0,0.0
64235.0,62.9,78543.0,0.0
64169.0,-3.0,78458.0,0.0
64079.0,-89.3,78303.0,0.0
64043.0,-120.2,78240.0,0.0
64046.0,-112.6,78246.0,0.0
64071.0,-84.1,78280.0,0.0
64091.0,-61.5,78312.0,0.0
64114.0,-36.9,78340.0,0.0
64110.0,-39.3,78347.0,0.0
64104.0,-43.5,78338.0,0.0
64105.0,-40.8,78345.0,0.0
64115.0,-29.6,78348.0,0.0
64142.0,-2.5,78391.0,0.0
64143.0,-1.4,78395.0,0.0
64151.0,6.3,78400.0,0.0
64160.0,14.7,78416.0,0.0
64169.0,22.8,78432.0,0.0
64174.0,26.7,78449.0,0.0
64189.0,40.0,78479.0,0.0
64193.0,42.2,78479.0,0.0
64169.0,17.5,78465.0,0.0
64075.0,-73.4,78309.0,0.0
64013.0,-130.0,78190.0,0.0
64010.0,-127.7,78169.0,0.0
64032.0,-101.5,78200.0,0.0
64039.0,-90.7,78213.0,0.0
64056.0,-70.8,78230.0,0.0
64070.0,-54.5,78257.0,0.0
64067.0,-55.2,78264.0,0.0
64056.0,-63.5,78252.0,0.0
64068.0,-49.5,78258.0,0.0
64084.0,-32.1,78281.0,0.0
64094.0,-21.2,78298.0,0.0
64110.0,-5.0,78327.0,0.0
64125.0,9.6,78360.0,0.0
64131.0,14.9,78373.0,0.0
64135.0,18.2,78379.0,0.0
64148.0,29.9,78404.0,0.0
64149.0,29.7,78416.0,0.0
64120.0,0.7,78382.0,0.0
64025.0,-90.5,78246.0,0.0
63979.0,-131.1,78148.0,0.0
63983.0,-122.0,78139.0,0.0
63993.0,-107.5,78169.0,0.0
64014.0,-83.1,78191.0,0.0
64036.0,-58.6,78211.0,0.0
64034.0,-58.2,78217.0,0.0
64023.0,-66.4,78206.0,0.0
64021.0,-65.7,78199.0,0.0
64027.0,-57.3,78210.0,0.0
64044.0,-38.7,78247.0,0.0
64043.0,-38.1,78253.0,0.0
64045.0,-34.7,78240.0,0.0
64071.0,-8.3,78294.0,0.0
64070.0,-8.9,78310.0,0.0
64052.0,-25.9,78259.0,0.0
64058.0,-19.1,78243.0,0.0
64082.0,4.7,78228.0,0.0
64052.0,-24.3,78194.0,0.0
63970.0,-102.0,78023.0,0.0
63936.0,-130.6,77937.0,0.0
63929.0,-132.1,77938.0,0.0
63935.0,-121.0,77964.0,0.0
63956.0,-96.0,78013.0,0.0
63971.0,-77.8,78037.0,0.0
63976.0,-69.9,78082.0,0.0
63966.0,-76.7,78067.0,0.0
63960.0,-79.4,78060.0,0.0
63972.0,-64.7,78095.0,0.0
63982.0,-52.5,78120.0,0.0
63988.0,-44.6,78137.0,0.0
64008.0,-23.6,78177.0,0.0
64023.0,-8.3,78213.0,0.0
64036.0,4.5,78253.0,0.0
64038.0,6.3,78281.0,0.0
64058.0,25.2,78315.0,0.0
64072.0,37.6,78344.0,0.0
64028.0,-6.1,78284.0,0.0
63935.0,-95.1,78132.0,0.0
63882.0,-142.2,78038.0,0.0
63885.0,-133.6,78028.0,0.0
